radius,thickness,gap_angle,shell_stiffness
4000,30,50,804
4000,30,60,611
4000,30,70,496
4000,30,80,421
4000,30,90,348
4000,30,100,295
4000,30,110,255
4000,30,120,211
4000,30,130,177
4000,30,140,149
4000,30,150,119
4000,30,160,95
4000,30,170,77
4000,30,180,58
4000,40,10,6127
4000,40,20,3323
4000,40,30,1996
4000,40,40,1414
4000,40,50,1093
4000,40,60,828
4000,40,70,670
4000,40,80,565
4000,40,90,462
4000,40,100,390
4000,40,110,336
4000,40,120,276
4000,40,130,231
4000,40,140,195
4000,40,150,155
4000,40,160,125
4000,40,170,102
4000,40,180,77
4000,50,10,7564
4000,50,20,4134
4000,50,30,2504
4000,50,40,1785
4000,50,50,1384
4000,50,60,1048
4000,50,70,845
4000,50,80,709
4000,50,90,577
4000,50,100,484
4000,50,110,415
4000,50,120,341
4000,50,130,284
4000,50,140,240
4000,50,150,191
4000,50,160,153
4000,50,170,125
4000,50,180,94
4000,60,10,8993
4000,60,20,4943
4000,60,30,3013
4000,60,40,2159
4000,60,50,1676
4000,60,60,1269
4000,60,70,1021
4000,60,80,855
4000,60,90,692
4000,60,100,579
4000,60,110,494
4000,60,120,404
4000,60,130,336
4000,60,140,283
4000,60,150,225
4000,60,160,181
4000,60,170,148
4000,60,180,112
4000,70,10,10406
